Username,Comment,Target
DewiSlim💃🏻 ,aaa kasian gibran tetap cawapres dan akhirnya menang ✌️,1
Zulfi Ahkam ,DKPP rasa timses😂😂,0
conanaja240 ,ternyata gampang juga ya kerjanya DKPP.. ...gajinya berapa sih ?,0
Dayat ,"lapor kepaman Usman,terlalu banyak laporan tapi tidak direspon",0
Vladimir Zuhri CBR ,sidang dagelan 😂😂😂,0
slametwahono6 ,smua cari amannn....,0
wijaya ,tanpa gibran prabowo 90%,0
ACEH MULIA 1 ,amplop tebal semua Masalah selesai,0
eitoendRa ,"pelanggaran etik ada ...tp eriknya apa ,sah dan tidaknya reneng remeng",1
Pete oseng ,takut krna ank presiden,0
racka ,dulu minta perpanjang jabatan agar Gibran mencapai batas usia minimal....krn gak berhasil diterobos aturan k MK agar batasan umur bisa terakomodir,0
Toman Siahaan ,etika kan tdk berdiri sendiri,1
user2261255883847 ,Takut sama pak lurah,0
feri hendra kusuma irawan ,"nah DKPP udah bener,, problemnya di administrasi KPU yg menjadi perdebatan",1
Rang Pitopang ,Amplop yg bicara,0
Berry ,karna gara gara si budi kan😁,0
ferdinandbanoet ,"pertanyaannya ; knpa tidak sedari awal dipersoalkan. dlu pda koar2 menerima keputusan MK 90, giliran pada kalah baru menggugat. lucu pada manusia 🤦🤦",0
Kang Photo ,"DKPP tugas nya, selain memberi teguran, teguran sedang, teguran keras, dan teguran paling keras 😂",1
Semar Misem ,hakim harus mempunyai keputusan yg adil tidak boleh semina2 karna demi uang ingat bagi para hakim anda sangt besar pertanggung jawaban d hadapan Allah,1
kartika ,yang melanggar MK tpi yg mengadili juga MK.,1
4nkri33zz68 ,apapun dh d beli...,0
basino bawor ,kan dugaan,1
Neng Sarah ,"MK cuma pura pura,02 tetap menang 🤣🤣",0
Jhony Pelangi ,anak presiden gitu punya power untuk mengendalikan kpu,0
no name ,"ada capres yg lewat umur dan cawapres yg kurang umur, jika pemilu ulang apakah boleh dipilih?",0
AlnaMedia ,DKPP tdk punya kewenangan dlm putusan KPU secara hukum. Jd smua akn kembali d putuskn oleh MK sbg mahkamah tertinggi sbg bdn hukum konstitusi.,1
user9706633963336 ,berarti para oemegang hukum menghendaki rakyat Indonesia mencari dan menegakan hukum dan demokrasi,1
Arna Sum Justice ,takut bget pak memberikan keterangan berkaitan putusanya sendiri,0
wiro212 ,"ingat itu pelanggaran etik bukan pelanggaran hukum
jadi tidak ada alasan diskualifikasi",1
Bhene E'O ,ternyata dkpp cuma simbol backing kpu doang yah,0
wiwitwidiyanto572 ,token listrik 16% makin berisik...,0
senada ,"baloran,kalo ada pelanggaran yg di lakukan kpu dlm pencalonan gibran,berarti tidak sah,cuma siapa yg akan memutuskan saja.",1
manbro87👊 ,duit LG nih,0
mommy2kids ,"saling lempar2 an ttg jawab antara KPU, DKPP n BANWASLU.... moga MK bs bersikap adil n independent dlm menegakan keadilan",1
Suparno Kirun ,di Indonesia kejujuran itu sangat langka,1
user9477695191612 ,anak pa lurah mana bisa di batal kan.,0
dimitry ,jd saling lempar cari aman,0
Jony ,DKPP itu kiriman wiwi,0
rony ,trus fungsi dkpp apa? dan termasuk bawaslu buat apa klo itu etik tp tdk ada sangsi,1
Curly Dastan ,"tinggal bilang salah yah salah benar dan benar itu aja kan.
knp seakan di buat susah dan sangat berat.
ya ALLAH ..
ayolah yg fer.
🙏",1
Hardi Ansyah ,sudah di setting 😁,0
lamsihar_siregar_888 ,Sanksi ke KPU karena KPU belum merevisi persyaratan pencalonan Ca & Cawapres setelah keputusan MK menyatakan.usia Mas Gibran sah untuk mencalonkan..,1
Malik Witta ,"Yes, Diskualifikasi!!!",0
Rambo07 ,kalau 02 tadinya kalah pasti pencalonan gibran tidak dipersoalkan... bukan begitu anak2 abah dan janggar ?,0
d'LLoyd ,ternyata semua punya kepentingan 2019 terulang lagi,1
suroto1691 ,Penyelenggara Pemilu pro dinasti kredibilitas & akuntabilitas diragukan.....,0
abdulrasyid4591 ,padahal kalau pak prabowo tak memilih gibran sbgai wakil nya.pasti naik juga,0
Bang Aces oke ,"Jelas kan, etik pendaftaran oleh KPU. Bukan sah atau tidaknya pencalonan Gibran. Gibran ttp sah",1
Uud Uus Nasgor ,terus apa gunanya dkpp kalo gak bisa menghukum,1
martinusdo6 ,"jika dkpp tdk bisa mengambil keputusan pelanggaran kpu, maka sdh sepantasnya mk utk menyelidikinya",1
lively feel ,hanya MK yg bs memutuskan soal itu,1
bensar ,sidang pelanggaran etika kpu atas substansi teknis pelaksanaan tupoksi dlmvproses penetapn calon. bukan sidang etik atas prilaku kpu. 2 hal yg berbeda. -+maaf.,1
user2007338533259 ,yg dipermasalahkan adalah kode etik bukan dasar hukum Sah atau TDK Sah.....dg dmk pencalonan Prabowo Gibran SDH sah sesuai surat keputusan MK no 90,1
eman ,"UTK APA DKPP DIADAKAN KAL CM UTK MENILAI TTAPI TDK BS MENGAMBIL TINDAKAN TEGAS, BUANG"" DUIT RAKYAT AJA",1
ardy ,dkpp....ordal KPU..,0
Anak kontemporer ,"putusan mkmk pencalonan Prabowo Gibran melanggar etik berat
KPU menerima calon Prabowo Gibran melanggar etik.
knp alasan DKPP sah dan tidak sahnya.",1
erwinsyah_harahap ,kalau ada pelanggaran etik berarti KPU bersalah dong...dan pemilu tdk sah...juga 02 diskualifikasi..,0
ariefwijaya9271 ,"DKPP: Lu melanggar
KPU : Lalu?
DKPP: Ya udah gitu aja sihh 🤣",0
warung zein ,udah pa dari pihak AMIN masalah pengajuan calon wapres gibran diajukan ke bawaslu tapi tidak ditindak lanjuti,1
Juraganracun & benihpadi ,dkpp gak netral,0
Pardi Idrap ,"02 tdk bisa membantah semua dalil 01 n 03, ini artinya tuntutan 01 n 03 dikabulkan semua",0
Abdu Algiafari lubis ,"berarti sah ya, kpu melanggar kode etik, tpi di bidang mna? kok ngga dijelaskan 2 hal tersebut",1
@᚛ᷝ ͣ ͫRyan557™ ͭ ͪ᚜ ,"hanya sekedar mengetahui, tp tdk tindak dr pelanggaran etik kpu, sma aja tdk melakukan tindakan apa2 dkpp",1
pak zega ,"Karena tidak sah, maka muncullah putusan pelanggaran etik",0
Putra Larantuka ,"ada 2 yg menjadi pelanggaran kapeu, tapi semua nya gx di tindak, 😂😂",1
ru910 ,Jelas ada pelanggaran berulang-ulang tapi kok cuma dikasih peringatan doang.,1
PONDOK BIBIT ,"Andai kata saya gibran saya memilih saya tidak akan maju, karena saya tau bahwa putusan ini poblematik🔥🔥",1
Imam4495 ,tidak ada pemilihan ulang itu dalil DKPP,1
shachi & penguin ,"setelah putusan MK, kan peraturan sudah berlaku",1
raffasya15 ,seharusnya 01&03 itu ke mknya sebelum pemilu di mulai kenapa sudah baru ke MK dah di MK pengajuannya sengketa hasil pilpres tpi pada kenyataan yg di bahas Jokowi dan bansos BKN hasil pilpres,1
Bayou ,Harusnya MK focus di Bawaslu aja Krn TDK mungkin sengketa pilpres dibawa ke MK klu Bawaslu mau memproses semua laporan pelanggaran itu aja pointnya,1
Linda Sari ,ADA SURAT SAKTI DARI PAK LURAH SIAPA YANG BERANI MENOLAK,0
RPBX AGENCY ,"HALLO GW DARI MASA DEPAN, 01&03 GABISA NYALONIN LAGI JADI PRESIDEN WKWKWK",0
R I Dinata.SE.SS.CLA-P ,"Rusak berat KPU dan DKPP, setali 3 uang, ada kong kali kong! 😂",0
JURAGAN BERAS ,Hasil dr cawe2 emang mantap. Syg anak..👍,0
telihan's ,"KESIMPULAN BAHWA, ADA PERBUATAN ONRECHMATIGE DAAD YG HARUS DI PERTANGGUNGJAWABAN KAN OLEH KPU",1
Moeza Belvani Celine ,"IPK 2,3 hebat bgt ya .. 🤣🤣🤣",1
HD MUSIC STUDIO ,dkpp sudh memberikan bahwa ad kode etik yg d langgar cuma tdk bisa memutuskan sah dan tidaknya calon di sini bagi orng yg punya akal sehat pasti paha 😁😁🍞🍞🍞🍞,1
frd09 ,yg tidak bisa di rubah itu hukumnya Alloh... hukum alloh itu nyata ..,1
JAGGER LANANG ,"saling lempar bakwan kpu, panwaslu,dkpp🤣🤣🤣",1
user9505081202377 ,SUDAH JELAS ADA PELANGGARAN USIA GIBRAN DIBAWAH 40. DISKUALIFIKASI PASLON 02 PRABOWO GIBRAN!!!,1
ᴊᴀɢᴀɴɢ ᴘɪɴɢɢɪʀ ,Fix Prabowo - Gibran presiden dan wakil presiden terpilih Indonesia 🔥🔥,1
Purboyo Tarihoran ,"Uang APBN Uda byk yg Habis utk PemiLu...
BijaksanaLah utk Penggunaan Uang Negara.",1
nurulkomariyah062 ,menang dari cina😂,0
mjmack ,fix 02 diskualifikasi,0
Angga Orin Naza ,"MK HARUS MEMULIHKAN NAMA BAIKNYA!!!
AYO MK BUKTIKAN!!!",1
zaen ,Muter muter puter terus sampe sah hehehe,1
MasBud325 ,Semua sdh satu paket...KPU..DKPP...BAWASLU...dan MK periode si paman..,0
Camelia S ,jelas aja enggak bisa d batalkan krn anak presiden,0
Jhonijaya9 ,"Kalo Pemilihan Ulang Kita Buktikan meskipun Prabowo tanpa Gibran, Pasti tetap menang..",0
Fitriphotocopy ,kenapa tidak dri awal🙄🙄,0
ARI-SUMENEP ,tunggu saja tgl 20 pengumumannya kan kita cuma rakyat kecil mengikuti apa kata pemimpin,1
Rachma Trisia ,takuuttt.. krn anak presiden 😂😂😂,0
SISWAHYUDI ,pemilu ulang tanpa 02,0
Anwar Husein ,berpihak berarti,0
Ipung.s. ,"Karena
Uang
Hancur
Perkara",0
Bunga sari ,Amplop berkuasa. Sidang hanya Sinetroon.,0
mulyadi syahputra ,"gibran bisa saja di dis
prBowo tanpa wakil di lantik",0
mas yoyo ,02 di diakualifikasi,0
eka ,"Hebatnya pak jokowi dengan diskresi kekuasaan suksesi pada keluarga yg sukses,,,",0
aries. ,yg jelas alasan udah dpet tebel,0
Romly 234/reza ,"tugas dkpp apa jadinya,nonton aj,periksa etik dan hukumnya juga lah...",0
Imam Safi'i ,trus siapa yg bisa menentukan sah dan tidak nya. klo ada pelanggaran,1
happysuccessfull ,Kelihatannya akan terjadi People Power bila MK memutuskan Paslon 02 tetap sah sebagai pemenang.,0
🇮🇩 SUKMA AZIZ F_P 🇵🇸 ,"brry ttp sah bos,",1
sofian 95 ,prodak president GK bole melawan,0
olixofar01 ,Disqualified belimbing sayur🤣,0
T a m ,"kata dkpp ada 2 poin pelanggaran etik kpu.... saya mencoba menebak = menerima berkas calon yg berkasus kah atau soal usia🤣🤣🤣
tebak2 yukzz🤣",1
keluarga CEMARA ,woy udah sepaket etamh ..paket kombo,0
Tagor ,"emang ada waktu utk ulang pemilu? okt sdh ngga Presiden, Nov Pilkada....",0
Ahongwijaya ,"ini KLW Gibran dipasangkan dengan yg lain sebut saja ganjarbapa kenadiannya Akan Kaya gini,saya rasa tidak🤣
tapi KLW Gibran dipasangkan SM Ganjar juga blm tentu menang🤣🤣
yg menang ttp prabowo🤣🤣🤣",0
uchy ,Tidak ada artinya keberadaan bawaslu dan dkpp.,0
AkarRumput80 ,Impossible bin Mustahil keadilan dan kebenaran bisa ditegakkan,1
Nur Muhammad ,Demi keadilan hrs pilpres ULANG,0
X'TIAN ,lgian knp sie Mk mutuskn batas usia stlh Gibran ikut cawapres? knp jg KPU Nerima Gibran ?,1
Fandie Gybbran ,berarti gk ada manfaatnya dong DKPP,0
mama kembar ,"pemilu ulang suruh 01 03 biayain,96 juta golput suara..sisa suara2 dr rakyt pemilih 24 dan 16%,ga bakal Syah.. juga..banyakan golputnya.",0
pacci ,"Sidang MK ini mestinya simpel saja , utk apa lama sidangnya, bukti kunci suda ada , paket Paslon 02 tdk Syah , tentu hasilnya juga tdk Syah , 02 harus",1
YayahUnariah ,yang pendidikan redah juga banyak yng memilih Anis,1
Mukti Sukardi ,"maka ny pak anis pilih,biar rakyat indonesia lebih baik pengetahuan ny pak ,mikirrrrrrrrrrr,berati selama ini orang indo masih rendah dong pendidikany",1
user1508967212764 ,yg akalnya sehat pilih Anies Baswedan,0
DARTON ,sesusah apapun kita orang tua ..ingin anak2 pendidikan nya lebih jauh. 🥹,1
Erwin Erwin Tarang ,02 pak yng jdi presiden,1
Msobari ,"2024 Rakyat Indonesia cerdas2, pasti pilih pa Anies...",0
user3611407515191 ,ad fakta di lpangan. walau pendidikan rendah tp punya otk cerdas . maka dri itu mereka pilih AMin,1
SMBH ,"Makanya ada relawan yang ikhlas yang menyampaikan program2 pak Anies, jadi ga masalah",1
yeyet.grt1122@gmail.com ,"Pa, rakyat yg pndidikan rendah pun kan paham tuk memilih capres karena dilihat dari penampilannya, karsmanya dan agamis aplg di kampung",1
Phonmark ,Aceh tdk cukup hny Berpendidikan Tinggi. Mereka berpegang teguh 4pilar pemimpin dan memilih Bnyk maslahat drpd mudharat.,1
istiqomah ,fakta org cerdas bukan pendidikan yg tinggi... yg punya etitut yg lebih baik👍🏻👍🏻🙏,1
nanathea ,"tidak semua kalangan pendidikan baik pilih pak anis,nyatanya yg pinter keliatan bodoh karna memilih capres yg mkmk",1
Siti Mutmainah498 ,tpi yg milih kok hya 24%,1
syaa ,berbelit belit kaya viki prasetio,0
sri lestari ,yg jelas adanya bansos dlm kampanye pilpres,1
Inul C ,"bukan masalah sd,smp,atau seterusnya disebutkan perpendidikan baik",1
anok dusu dili ,itu pendapat Nya lu tapi rakyat Indonesia lain bukan memilih yg cuma pintar,1
sunarti ,janji makan siang gratis lebih menarik menurut mereka.,1
Seniman KemBang 🔥 ,contoh parkiran air,1
Amalia Syamsiah ,Skarang sdh banyak yg sekolah bang efendi,0
_-𝕬𝖓𝖉𝖗𝖎𝖊-_ ,"point' dr pendidikan yang baik bukan berarti saja lulusan S1.S2.S3 saja,, tp pendidikan lingkungan dr orang tua jg berpengaruh👍",1
kesya ,oh begitu..pantes aja wowo ttap banyak pemuja nya,1
Murodi Toyib ,rendah bukan berarti g puya pengatauan umum bos,1
ճւՔկ ,"pemilu bukan hanya tentang pendidikan
tp lebih kepada kepercayaan setiap pemilih..
mayoritas pemilih lebih percaya kepada 02.",1
Ahmad Handycraft ,anis bos semua kalangan suka,1
Anto4523 ,dukung Anies capres negara Singapore / Malaysia aja om😂😂😂😂,0
🇦 🇾 🇦 🇸 🇴 🇫 🇾 🇦 🦋 ,"banyak yg berpddkn rendah milih pak Anies Baswedan,,, InshaaAllah Anies Baswedan RI 1",1
Hermidha ,kebanyakan anak yg baru tamat SMA yg baru punya KTP bikin dia menang.ikut2 yg rame disosmed yg didukung artis,0
tintin sumarni ,banyak yg pendidikan baik juga.tapi pilih Prabowo .,1
keysha_afiff263moch Arif af ,bukan seperti itu kali bang .pemilih Anis di setiap wilayah unggul jauh dari Prabowo .cuma sayang Anis kalah di KPU dan MK .,0
Daniel Umbu ,faktanx dapat 24%...apa lagi boss,1
Zelda ,kta siapa byk jendral akademisi aktivis dan cendikiawan yg milih 02,1
akun hiburan ,jejak anis bisa di lihat pas dia jadi gubernur Jakarta 🤣🤣🤣🤣🤣🤣,1
qiyengk ,itulah peranan pak anis bs bs mencerdaskan seluruh rakyat indonesia tanpa membedakan suku dn tingkat kemapuan financialnya,1
Dardko ,Yg kedua anis turunan yaman,1
Kurdi ,🤣🤣🤣🤣🤣 nggedabrus,0
hel kiau ,👍 baik untuk mengelabui n membual,0
Bang Ipul3039 ,lu pendukung nya soal nya,0
Erna ,Pak Prabowo lebih banyak di pilih rakyat kalangan bawah sehingga menang,1
BOIS ,Anis sama Riky Prasetyo bae maseh kalah Riky byk dapet cewek cantik,0
ally setiawan ,pendidikan hanya formalitas jauh lebih penting kewarasan berfikir...,1
xyzrka ,"yg pendidikannya baik.. wlo lulusan SD tp cerdas mk itu berrti pendidikannya baik.
ad yg lulusan sarjana tp hasilnya bljar bs jd kurang baik.",1
AK ,masalah nya Anis itu pemecah persatuan bangsa dan umat... keturunan Yaman bkn WNI tulen/asli,0
indra ,"kaki sebagai ALAT TRANSPORTASI.
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1
Sukinem Chicka Lunzria ,"saya sih suka sama pak Anis ,tapi saya jijik dg pendukungnya ,arogan,demo teriak2. mulutnya kasar ,maksa tidak terima kekalahan ,",1
Tsalaats banaat ,"pendidikan kan kita rendah,ternyata",1
DO'A CATERING ,"ngopinya kurang kentel bosss ,ndableg GK mau mengakui kekalahan",0
Kareena ,"ini pembodohan pola pikir... faktanya... data pikir rakyat sangat cerdas, kecerdasan rakyat terbukti gk memilih Anies",0
Rita ,kt km kt gw prabowo sdh menang bro 58% anis cm24% nnk2 kabeh🤣🤣🤣🤣,1
JaiGMMI ,"persoalannya, suara banyak nya yg pendidiknnya di bawah .....😎",1
eril332 ,"andai yg pendidikannya baik itu mayoritas pasti g
banyak orang yg mau dimanfaatkan dan di .....
sama kan maksudnya",1
lare_ndusun ,saking pinter pendidikan nya.... sampai sampai angin harus punya KTP 😂😂,0
Ria Ribeiro ,aku gak sekolah tapi aku paham tentang perubahan..seperti banjir dirubah jd tempat parkir air..klu temoat parkir mobil dirubah jd tempat parkir mesin ya,0
rohemkhan843 ,Kalok kita nilai dari hati Anis GK guna lain pikiran dan bibir karna di kuasai hawa napsu itu lebi dangkal,0
SABUN DUSENG ,banyak yang pilih selain Anis mereka pendidikan tinggi... yuk kita survei yang akurat.. jangan hanya sekedar hipotesis...,1
banichitepu6469 ,Ga jga tuh..anisnya aja ngomong seperti pujangga yg lgi mabuk,0
Barkah Salim ,Plin plan demi popularitas. Londo Ireng kembali muncul setelah jaman Belanda dan jepang. bersamaan dengan munculnya gorosai,0
dendy famuzi ,saudara menghina masyarakat Indonesia..,0
Widad Changhai Wista ,"pak masalahnya bukan pendidikan,,,,kampanyenya terlalu muluk2,dan politisasi agama....jgn merendahkan rakyat indonesia...😡",0
ariyanto 90. 😊 ,disitulah lah makanya negri konoha ini susah majunya..masarakatnya lebih mudah di. asut.dn di adu domba....😊,1
kopi hitam 1945 ,ANIES ITU SEKELAS SAMA VICKY PRASETYO .ITU FAKTANYA,0
No Habib2 anjingyaman ,Alhamdulillah untungnya anjingyaman kalah pilpres,0
panturae ,ora g ini PINTAR CERDAS tapi kenapa ya dia gak Cerdas kl skrng ada SESUATU dgn YOHANES ANIS BASDAN bung Gajali HARUS ULANG CARA BERPIKIR ANDA ... .?????,0
Roy V.P ,Anis spt angin... selalu berubah... makanya tagline nya perubahan hari ini omong a besok B,0
orang_miskin ,justru yg brpndidikan baik menilai kata2 anis gk masuk akal,0
Mietha ,"Ya emg Orang baru punya KTP anak2 muda ga tau apa2 yg pilih 02, karena mereka blm tau apa itu Politik dan dampaknya!",0
Muhammadsyaiful ,Pendidikan rendah pilih makan gratis,0
jamessang59 ,"bkn mslah pendidikannya pak tp krn anies g bs kerja kerja kerja sesuai keinginan rakyat indonesianya, maaf 72% lbh rakyat indonesia sdh pintar memilih yg terbaik.",0
Rafi_23 ,kata kata anis buuuleeet kayak gitu kok mudah di mengerti...yg mengerti ya yg deket anis laah paak...,0
adimazze ,pantas ada oknum pendukung 01 yg pendidikan tinggi2 mulutnya pd tajem2 kl njelekkin pak prabowo... ternyata berpendidikan baik tdk menjamin mulut nya baik ya pak 😂😂😂😂😂,1
haikalazka6 ,FAKTANYA BAHWA ANIES BASWEDAN GAK DISUKAI MAYORITAS RAKYAT INDONESIA,0
ANIM SUBANG ,saya lulusan sd tapi saya tidak mengerti pola pikir anis orang nya plinpan ga jelas,0
Madnurarifin ,"Bagaimana lebih mudah dimengerti, kalau jawab mutar-muter kok. Ditanya tidak langsung dijawab, tapi muter dulu",0
@ Agung Wasito ,sok tau profesor aja bingung ada parkir air.,0
Ramdani no 6470 ,anis itu membodohi dan mengadu domba,0
Phawit Wit ,anis orang paling berbahaya di negara Indonesia tercinta.,0
lengloi73 ,saya biasa2 ajh ngerti yg diomongin pak anis😂😂fakta mninjukkn pinter omong.bnyk omong.teori dan gak mau kerja..lbh suka mncari celah kelebihan bayar.terlalu dramatis kl omong😂😂😂,0
Anthony ,"pak Anis memang cerdas karena bicara muter2 pun mampu,pandai merangkai kata
untuk melakukan itu memang butuh kecerdasan, cuma faktanya kurang meyakinkan, Karena untuk perubahan itu tdk mudah",1
vestipudji7 ,apa maksud orang ini sok tau dan merendahkan orang yg tidak dia kenal! karna mendukung anis jdi koplak ni!,0
Madnurarifin ,Lha wong Anis kalau bicara mutar muter kok dibilang pintar,0
🧭 Blepout 💞 ,pak Anis otak adu domba NKRI karena gila jabatan,0
Genta ,"betul, sangking pinternya bikin parkiran air, sampai angin tak ber KTP",1
cinkliya ,buktinya banyak y pendidikannya baik .malah dia y tukang korupsi nya😂,0
jalur langit ,ya bner pak... rkyat GX ngrti.. tenyata malaikat bsa demo... angin jg GX punya KTP.... 😂😂😂😂,1
EDYY ,"bukan hanya katanya bisa nggak kerja,rekam jejak Anies menunjukan rendahnya akhlak seorang Anies,jgn janji indonesia mau dibawanya kmana",0
niken ,"tp sampean kok rendah pikirane fakta anis iku bukan sosok bgus,nyata penghibah suka hina orla fakta iki,",0
Gading Tirta ,"Gak juga, smua bingung sama omonganya! Mencla mencle",0
seloki ,"kalo pendidikan pak anis bagus kenapa kalah telak sama pak yusril, otto, hotman & cs yg lain nya..
01 & 03 gampang sekali untuk dipatahkan mereka yg pengacara bpk prabowo 😃",0
Mardiana Santoso ,"masalahnya Anis Bawesdan hanya teoritis, fakta nya tidak sesuai",0
𝓼𝔂𝓲𝓯𝓪 𝔀𝓪𝓮 𝓪𝓽𝓾𝓱 ,orang berpendidikan belum tentu baik bro,1
Jack Dasmasela ,Anis teroris,0
no name ,😁😁😁😁😁 angin gak ada ktpnya udara gak ada ktpnya😁😁😁masalahnya anis tukang obral janji cuma omon omon,0
aku.kamu.kita ,pendukung anies adalah Islam panatik atau pendukung pks sj,0
cakdi ,percaya pak sampai anis buat angin punya ktp parkir banjjr . anda sehat,0
Ucu Bonax ,seharus nya pendidikan rendah juga kalau orang nya pemikirannya ke masa depan bakal maju negara,1
PUTRA ,"🤣🤣🤧 Anies Baswedan GUBUNUR TERBODO di YouTube,lihat aja di YouTube 🤣🤧",0
Fami Jojo ,Anies pinter ngmong nm y tukang jual obat 😂,0
Taurus28 ,"sama otaknya sama anis,,,pintar ngomong doang🤪",0
Pitek Gepuk ,"fakta pendidikan baik, hanya 10% ke TPS !",0
tswardhana ,"pintar, bukan berarti cerdas....",1
daniel ,alah gk berlaku cocod mu itu wak faktanya nya di kuburan prabowo juga banyak orang2 pintar,1
antopiyu1 ,masalah sama Annis terlalu banyak omong kosong sama dengan anda,0
Herry Satrio ,"Sok PD ,tapi nggedabrusss tok 😆😆😆 anis dan relawanya tingkah polahnya spt anak SD .",0
user3444261214901 ,oleh kelompoknya nyatanya yang katanya dosen ga bisa bedakan kritik dan cacian,0
Ali ,Anis kebanyakan omong alias pemecah belah bangsa,0
Sri Nuraeni ,"Dan klo pendidikan rendah,mikirnya gak mau ruwet2 ,cukup dibagi bansos aja udah girang😂",0
buat chale ,NGOMONG SAMA ANGIN..YA,0
ana soviani ,"bkn masalah tinggi pendidikannya, tp akal sehatnya berfungsi dg baik",1
blondor 75 ,faktanya Anis cuma nggedabrus,0
tunggulsitanggang ,"bukan itu bro, yg pilih abis yg fanatik agama nya tinggi, krn dia pake politik identitas saya dan kawan kawan sdh S2 tapi kami pilih prabowo",0
